config,ranks,level,dofs,l2_error,rel_l2_error,linf_error,newton_iters,gmres_iters_total,converged,solve_time_s
parallel,4,0,3216,0.000587159,0.000983583,0.0028642,3,50,yes,0.287267
parallel,4,1,12864,0.00014903,0.000249648,0.000776393,3,50,yes,0.811246
parallel,4,2,51456,3.76361e-05,6.30464e-05,0.000216428,3,50,yes,3.0772
parallel,4,3,205824,9.45763e-06,1.5843e-05,6.15417e-05,3,49,yes,11.8745
parallel,4,4,823296,2.37006e-06,3.97023e-06,1.71559e-05,3,49,yes,47.4049
serial,1,0,3216,0.000587159,0.000983584,0.0028642,3,48,yes,0.655265
serial,1,1,12864,0.00014903,0.000249648,0.000776393,3,49,yes,2.5567
serial,1,2,51456,3.7636e-05,6.30463e-05,0.000216428,3,49,yes,10.1126
serial,1,3,205824,9.45803e-06,1.58437e-05,6.15423e-05,3,49,yes,39.8659
serial,1,4,823296,2.37022e-06,3.9705e-06,1.71564e-05,3,49,yes,160.056
