Point ID,Points_0,Points_1,Points_2,Points_Magnitude,psi
0,4.553428489e+00,-1.557763208e+00,0.000000000e+00,4.812518801e+00,-8.610260810e-02
1,4.521610677e+00,-1.416145525e+00,0.000000000e+00,4.738188605e+00,-8.610260810e-02
2,8.104014601e+00,-2.403179666e-01,0.000000000e+00,8.107577035e+00,-8.610260810e-02
3,8.101808033e+00,-2.475291910e-01,0.000000000e+00,8.105588449e+00,-8.610260810e-02
4,8.207200457e+00,4.778288470e-01,0.000000000e+00,8.221098452e+00,-8.610260810e-02
5,8.205898165e+00,4.344847395e-01,0.000000000e+00,8.217392633e+00,-8.610260810e-02
6,4.834144853e+00,-3.615637610e+00,0.000000000e+00,6.036703719e+00,-8.610260810e-02
7,4.858517496e+00,-3.600725283e+00,0.000000000e+00,6.047347752e+00,-8.610260810e-02
8,4.193468855e+00,1.336168204e+00,0.000000000e+00,4.401196031e+00,-8.610260810e-02
9,4.195192221e+00,1.358324973e+00,0.000000000e+00,4.409612739e+00,-8.610260810e-02
10,4.184907964e+00,8.331509276e-01,0.000000000e+00,4.267035873e+00,-8.610260810e-02
11,4.185219841e+00,8.503366718e-01,0.000000000e+00,4.270730332e+00,-8.610260810e-02
12,6.849806150e+00,3.367379317e+00,0.000000000e+00,7.632764096e+00,-8.610260810e-02
13,6.858574459e+00,3.360128342e+00,0.000000000e+00,7.637441069e+00,-8.610260810e-02
14,4.323874951e+00,-5.161861049e-01,0.000000000e+00,4.354577211e+00,-8.610260810e-02
15,4.313522164e+00,-4.603592100e-01,0.000000000e+00,4.338018449e+00,-8.610260810e-02
16,4.432488619e+00,-3.747926219e+00,0.000000000e+00,5.804645234e+00,-8.610260810e-02
17,4.478390069e+00,-3.730286842e+00,0.000000000e+00,5.828466139e+00,-8.610260810e-02
18,4.225060168e+00,1.825776532e+00,0.000000000e+00,4.602672415e+00,-8.610260810e-02
19,4.233036521e+00,1.914737651e+00,0.000000000e+00,4.645946455e+00,-8.610260810e-02
20,4.811528892e+00,-2.758821439e+00,0.000000000e+00,5.546341679e+00,-8.610260810e-02
21,4.806114047e+00,-2.736603249e+00,0.000000000e+00,5.530617468e+00,-8.610260810e-02
22,4.783697792e+00,-2.615067078e+00,0.000000000e+00,5.451819915e+00,-8.610260810e-02
23,4.781753344e+00,-2.602514580e+00,0.000000000e+00,5.444102055e+00,-8.610260810e-02
24,5.062783470e+00,-3.796793558e+00,0.000000000e+00,6.328302915e+00,-8.610260810e-02
25,5.064321259e+00,-3.801888980e+00,0.000000000e+00,6.332591068e+00,-8.610260810e-02
26,4.219657097e+00,1.873295529e-01,0.000000000e+00,4.223813251e+00,-8.610260810e-02
27,4.214407231e+00,2.425074301e-01,0.000000000e+00,4.221378704e+00,-8.610260810e-02
28,4.273327813e+00,-2.385801300e-01,0.000000000e+00,4.279982602e+00,-8.610260810e-02
29,4.272520826e+00,-2.336918663e-01,0.000000000e+00,4.278907114e+00,-8.610260810e-02
30,7.888913169e+00,-8.049036573e-01,0.000000000e+00,7.929868907e+00,-8.610260810e-02
31,7.881121718e+00,-8.206920901e-01,0.000000000e+00,7.923737442e+00,-8.610260810e-02
32,5.367888551e+00,-3.293475362e+00,0.000000000e+00,6.297714462e+00,-8.610260810e-02
33,5.345080830e+00,-3.308147743e+00,0.000000000e+00,6.285994795e+00,-8.610260810e-02
34,5.528084373e+00,-3.177258176e+00,0.000000000e+00,6.376102756e+00,-8.610260810e-02
35,5.506944425e+00,-3.191532937e+00,0.000000000e+00,6.364928860e+00,-8.610260810e-02
36,7.881728241e+00,1.998240865e+00,0.000000000e+00,8.131088895e+00,-8.610260810e-02
37,7.893602637e+00,1.971707640e+00,0.000000000e+00,8.136128908e+00,-8.610260810e-02
38,4.314113524e+00,2.531792840e+00,0.000000000e+00,5.002154584e+00,-8.610260810e-02
39,4.324490797e+00,2.595698400e+00,0.000000000e+00,5.043696149e+00,-8.610260810e-02
40,5.222669063e+00,4.008363956e+00,0.000000000e+00,6.583559353e+00,-8.610260810e-02
41,5.274340605e+00,4.017454004e+00,0.000000000e+00,6.630128618e+00,-8.610260810e-02
42,4.755259881e+00,-2.463827743e+00,0.000000000e+00,5.355645963e+00,-8.610260810e-02
43,4.748201747e+00,-2.420736985e+00,0.000000000e+00,5.329670476e+00,-8.610260810e-02
44,7.155742797e+00,3.081431807e+00,0.000000000e+00,7.791012576e+00,-8.610260810e-02
45,7.189875092e+00,3.045617288e+00,0.000000000e+00,7.808334553e+00,-8.610260810e-02
46,8.148365757e+00,1.151556580e+00,0.000000000e+00,8.229334546e+00,-8.610260810e-02
47,8.152976478e+00,1.125899481e+00,0.000000000e+00,8.230350849e+00,-8.610260810e-02
48,4.908375798e+00,-3.338765728e+00,0.000000000e+00,5.936287523e+00,-8.610260810e-02
49,4.908129239e+00,-3.323041565e+00,0.000000000e+00,5.927253822e+00,-8.610260810e-02
50,7.484190791e+00,2.689345892e+00,0.000000000e+00,7.952716085e+00,-8.610260810e-02
51,7.506165499e+00,2.659843475e+00,0.000000000e+00,7.963497210e+00,-8.610260810e-02
52,4.647610183e+00,-3.674754895e+00,0.000000000e+00,5.924871640e+00,-8.610260810e-02
53,4.697435438e+00,-3.658201431e+00,0.000000000e+00,5.953850637e+00,-8.610260810e-02
54,7.682685293e+00,-1.171849296e+00,0.000000000e+00,7.771543224e+00,-8.610260810e-02
55,7.625739846e+00,-1.258791580e+00,0.000000000e+00,7.728936825e+00,-8.610260810e-02
56,7.675096053e+00,2.399876809e+00,0.000000000e+00,8.041548864e+00,-8.610260810e-02
57,7.717378603e+00,2.325199652e+00,0.000000000e+00,8.060054958e+00,-8.610260810e-02
58,4.556659028e+00,-3.705479232e+00,0.000000000e+00,5.873135264e+00,-8.610260810e-02
59,8.013407430e+00,1.667123078e+00,0.000000000e+00,8.184986133e+00,-8.610260810e-02
60,8.028637611e+00,1.621202756e+00,0.000000000e+00,8.190684969e+00,-8.610260810e-02
61,5.703746129e+00,-3.052970656e+00,0.000000000e+00,6.469416491e+00,-8.610260810e-02
62,5.693980157e+00,-3.060851958e+00,0.000000000e+00,6.464535926e+00,-8.610260810e-02
63,4.987272084e+00,-3.633452304e+00,0.000000000e+00,6.170482841e+00,-8.610260810e-02
64,5.005354101e+00,-3.684919629e+00,0.000000000e+00,6.215480862e+00,-8.610260810e-02
65,4.601664326e+00,-3.689444268e+00,0.000000000e+00,5.898077108e+00,-8.610260810e-02
66,4.640781834e+00,-3.677680508e+00,0.000000000e+00,5.921333461e+00,-8.610260810e-02
67,4.559576963e+00,-3.704071759e+00,0.000000000e+00,5.874511867e+00,-8.610260810e-02
68,4.935894218e+00,-3.489509432e+00,0.000000000e+00,6.044809989e+00,-8.610260810e-02
69,4.936328601e+00,-3.451704477e+00,0.000000000e+00,6.023421275e+00,-8.610260810e-02
70,5.050005930e+00,-3.513237358e+00,0.000000000e+00,6.151861233e+00,-8.610260810e-02
71,5.046159143e+00,-3.514805835e+00,0.000000000e+00,6.149600162e+00,-8.610260810e-02
72,4.846681565e+00,-2.949175855e+00,0.000000000e+00,5.673443435e+00,-8.610260810e-02
73,4.837923952e+00,-2.901760243e+00,0.000000000e+00,5.641428957e+00,-8.610260810e-02
74,4.862849070e+00,-3.045069601e+00,0.000000000e+00,5.737573525e+00,-8.610260810e-02
75,4.853738548e+00,-2.999591571e+00,0.000000000e+00,5.705815234e+00,-8.610260810e-02
76,4.658237649e+00,-2.022104264e+00,0.000000000e+00,5.078196890e+00,-8.610260810e-02
77,4.653572340e+00,-1.999553971e+00,0.000000000e+00,5.064973012e+00,-8.610260810e-02
78,5.655604413e+00,-3.087909052e+00,0.000000000e+00,6.443682456e+00,-8.610260810e-02
79,5.648308875e+00,-3.092713041e+00,0.000000000e+00,6.439585942e+00,-8.610260810e-02
80,4.885149628e+00,-3.180762246e+00,0.000000000e+00,5.829402658e+00,-8.610260810e-02
81,4.884947286e+00,-3.173954629e+00,0.000000000e+00,5.825521262e+00,-8.610260810e-02
82,5.270692988e+00,-3.362098093e+00,0.000000000e+00,6.251712418e+00,-8.610260810e-02
83,5.226468725e+00,-3.390747128e+00,0.000000000e+00,6.230019376e+00,-8.610260810e-02
84,5.156883516e+00,-3.441614345e+00,0.000000000e+00,6.199851361e+00,-8.610260810e-02
85,5.112572232e+00,-3.467845275e+00,0.000000000e+00,6.177729816e+00,-8.610260810e-02
86,5.989126105e+00,-2.845440176e+00,0.000000000e+00,6.630698402e+00,-8.610260810e-02
87,5.967061616e+00,-2.861126853e+00,0.000000000e+00,6.617542686e+00,-8.610260810e-02
88,2.266150180e+00,-4.049552454e+00,0.000000000e+00,4.640507700e+00,-8.610260810e-02
89,2.352250000e+00,-4.058015848e+00,0.000000000e+00,4.690476808e+00,-8.610260810e-02
90,1.655592640e+00,-2.088659886e+00,0.000000000e+00,2.665236783e+00,1.230720951e+01
91,1.639183221e+00,-2.137375000e+00,0.000000000e+00,2.693565207e+00,1.230720951e+01
92,6.292600174e+00,-7.799643802e+00,0.000000000e+00,1.002153982e+01,-8.610260810e-02
93,6.296082100e+00,-7.843230183e+00,0.000000000e+00,1.005767913e+01,-8.610260810e-02
94,1.028233395e+01,-3.630243102e-01,0.000000000e+00,1.028874036e+01,1.230720951e+01
95,1.027682867e+01,-4.115903492e-01,0.000000000e+00,1.028506753e+01,1.230720951e+01
96,9.692187110e+00,2.339837841e+00,0.000000000e+00,9.970623456e+00,1.230720951e+01
97,9.702260766e+00,2.311415297e+00,0.000000000e+00,9.973790887e+00,1.230720951e+01
98,1.487157504e+00,-1.580948710e+01,0.000000000e+00,1.587927957e+01,-8.610260810e-02
99,1.825748658e+00,-1.589174406e+01,0.000000000e+00,1.599627730e+01,-8.610260810e-02
100,1.412522567e+00,-1.585126932e+01,0.000000000e+00,1.591408053e+01,-8.610260810e-02
101,1.241359186e+00,-1.594589572e+01,0.000000000e+00,1.599414152e+01,-8.610260810e-02
102,1.014143778e+01,-9.742525345e-01,0.000000000e+00,1.018812682e+01,1.230720951e+01
103,1.009820958e+01,-1.092502890e+00,0.000000000e+00,1.015713539e+01,1.230720951e+01
104,7.260952700e+00,-8.703764853e+00,0.000000000e+00,1.133476761e+01,1.230720951e+01
105,7.285247271e+00,-8.759040314e+00,0.000000000e+00,1.139278785e+01,1.230720951e+01
106,3.808965963e+00,-3.943447828e+00,0.000000000e+00,5.482609094e+00,-8.610260810e-02
107,3.889109162e+00,-3.917127964e+00,0.000000000e+00,5.519878763e+00,-8.610260810e-02
108,4.043621346e+00,-3.872453468e+00,0.000000000e+00,5.598818577e+00,-8.610260810e-02
109,4.103265421e+00,-3.850658842e+00,0.000000000e+00,5.627109438e+00,-8.610260810e-02
110,4.870537028e+00,-1.244462436e+01,0.000000000e+00,1.336378712e+01,-8.610260810e-02
111,4.715224549e+00,-1.261198022e+01,0.000000000e+00,1.346459756e+01,-8.610260810e-02
112,5.143909541e+00,-3.967576168e+00,0.000000000e+00,6.496265544e+00,-8.610260810e-02
113,5.154977180e+00,-4.002319291e+00,0.000000000e+00,6.526281440e+00,-8.610260810e-02
114,5.094242414e+00,-3.868773328e+00,0.000000000e+00,6.396773627e+00,-8.610260810e-02
115,5.105465775e+00,-3.882502553e+00,0.000000000e+00,6.414016437e+00,-8.610260810e-02
116,5.066161962e+00,-3.806453499e+00,0.000000000e+00,6.336804026e+00,-8.610260810e-02
117,6.737333822e+00,-7.098384636e+00,0.000000000e+00,9.786660895e+00,1.230720951e+01
118,6.749175067e+00,-7.165004803e+00,0.000000000e+00,9.843203641e+00,1.230720951e+01
119,6.867200053e+00,-7.662101939e+00,0.000000000e+00,1.028913226e+01,1.230720951e+01
120,6.874887986e+00,-7.685969311e+00,0.000000000e+00,1.031204195e+01,1.230720951e+01
121,1.879041330e+00,-1.430550302e+01,0.000000000e+00,1.442838220e+01,-8.610260810e-02
122,1.609401407e+00,-1.418378328e+01,0.000000000e+00,1.427479881e+01,-8.610260810e-02
